OrderNo,ItemNo,Quantity
D0177,P0253,3
D0177,P0275,6
D0177,P0285,3
D0177,P0338,12
D0177,P0423,12
D0177,P0431,24
D0177,P0531,3
D0177,P0533,12
D0177,P0535,12
D0177,P0668,6
D0177,P0711,3
D0177,P0736,3
D0177,P0739,12
D0177,P0753,12
D0177,P0800,6
D0177,P0834,12
D0177,P0837,12
D0177,P0856,2
D0177,P0925,4
D0177,P0926,4
D0177,P0927,4
D0177,P0928,4
D0177,P0966,2
D0177,P0972,3
D0177,P0982,2
D0177,P1021,2
D0177,P1097,12
D0177,P1102,12
D0177,P1120,6
D0177,P1121,4
D0177,P1135,2
D0177,P1139,6
D0177,P1140,6
D0177,P1147,12
D0177,P1162,12
D0177,P1190,2
D0177,P1262,4
D0177,P1264,6
D0177,P1269,12
D0177,P1277,12
D0177,P1316,4
D0177,P1357,6
D0177,P1378,12
D0177,P1379,12
D0177,P1607,10
D0177,P1667,8
D0177,P1681,4
D0177,P1683,12
D0177,P1694,4
D0177,P1695,4
D0177,P1737,4
D0177,P1755,12
D0177,P1756,12
D0177,P1757,4
D0177,P1823,6
D0177,P1824,6
D0178,P0179,12
D0178,P0181,12
D0178,P0352,12
D0178,P0379,12
D0178,P0404,12
D0178,P0412,12
D0178,P0429,12
D0178,P0463,12
D0178,P0464,12
D0178,P0531,3
D0178,P0707,4
D0178,P0736,3
D0178,P0761,36
D0178,P0798,12
D0178,P0806,12
D0178,P0807,12
D0178,P0810,12
D0178,P0854,12
D0178,P0856,4
D0178,P0880,6
D0178,P0915,12
D0178,P0920,3
D0178,P0925,4
D0178,P0982,4
D0178,P1019,2
D0178,P1020,4
D0178,P1050,12
D0178,P1096,6
D0178,P1097,12
D0178,P1115,12
D0178,P1120,6
D0178,P1139,6
D0178,P1147,12
D0178,P1250,12
D0178,P1277,12
D0178,P1314,4
D0178,P1356,3
D0178,P1361,12
D0178,P1658,6
D0178,P1661,12
D0178,P1741,48
D0178,P1763,8
D0178,P1789,12
D0178,P1791,36
D0178,P1839,6
D0179,P0004,12
D0179,P0007,3
D0179,P0063,10
D0179,P0115,24
D0179,P0154,12
D0179,P0163,8
D0179,P0212,6
D0179,P0213,6
D0179,P0214,12
D0179,P0215,12
D0179,P0246,48
D0179,P0311,6
D0179,P0436,10
D0179,P0437,10
D0179,P0513,6
D0179,P0544,24
D0179,P0583,12
D0179,P0991,6
D0179,P1005,2
D0179,P1193,2
D0179,P1219,3
D0179,P1286,10
D0179,P1337,12
D0179,P1403,12
D0179,P1425,2
D0179,P1428,2
D0179,P1429,2
D0179,P1431,4
D0179,P1439,3
D0179,P1449,1
D0179,P1453,12
D0179,P1542,24
D0179,P1543,6
D0179,P1544,24
D0179,P1545,24
D0179,P1546,24
D0179,P1547,12
D0179,P1551,48
D0179,P1552,36
D0179,P1553,36
D0179,P1558,10
D0179,P1607,2
D0179,P1625,36
D0179,P1682,36
D0179,P1763,8
D0179,P1809,48
D0179,P1839,6
D0179,P1840,24
D0179,P1841,24
D0179,P1867,12
D0180,P0006,3
D0180,P0297,4
D0180,P0352,12
D0180,P0415,12
D0180,P0430,24
D0180,P0555,6
D0180,P0570,24
D0180,P0660,12
D0180,P0834,12
D0180,P0849,12
D0180,P1281,10
D0180,P1316,4
D0180,P1422,4
D0180,P1427,12
D0180,P1614,8
D0180,P1674,48
D0180,P1776,12
D0180,P1781,6
D0180,P1940,1
D0181,P0174,12
D0181,P0181,12
D0181,P0638,12
D0181,P0676,24
D0181,P0677,24
D0181,P1940,1
D0182,P0515,6
D0182,P0738,12
D0182,P0810,12
D0182,P0875,6
D0182,P0880,6
D0182,P1037,12
D0182,P1096,6
D0182,P1166,6
D0182,P1167,8
D0182,P1184,4
D0182,P1195,12
D0182,P1202,2
D0182,P1280,10
D0182,P1356,3
D0182,P1385,12
D0182,P1425,2
D0182,P1449,2
D0182,P1589,3
D0182,P1594,3
D0182,P1595,3
D0182,P1655,2
D0182,P1658,6
D0182,P1669,4
D0182,P1816,24
D0183,P0032,6
D0183,P0061,10
D0183,P0097,6
D0183,P0189,12
D0183,P0191,24
D0183,P0362,6
D0183,P0495,10
D0183,P0629,6
D0183,P0630,6
D0183,P0647,6
D0183,P0666,10
D0183,P0759,24
D0183,P0760,12
D0183,P0772,4
D0183,P0802,12
D0183,P0844,36
D0183,P0865,4
D0183,P0909,12
D0183,P0910,12
D0183,P0911,12
D0183,P0989,6
D0183,P1020,1
D0183,P1134,4
D0183,P1136,4
D0183,P1269,12
D0183,P1270,6
D0183,P1302,6
D0183,P1318,12
D0183,P1319,12
D0183,P1320,12
D0183,P1321,4
D0183,P1336,12
D0183,P1347,8
D0183,P1348,8
D0183,P1349,8
D0183,P1350,8
D0183,P1352,8
D0183,P1354,8
D0183,P1362,24
D0183,P1363,24
D0183,P1381,4
D0183,P1383,12
D0183,P1396,12
D0183,P1397,12
D0183,P1419,4
D0183,P1420,4
D0183,P1421,6
D0183,P1435,2
D0183,P1438,6
D0183,P1443,12
D0183,P1447,6
D0183,P1454,12
D0183,P1455,12
D0183,P1522,6
D0183,P1589,4
D0183,P1823,6
D0183,P1839,6
D0184,P0209,2
D0184,P0211,2
D0184,P0285,4
D0184,P0339,12
D0184,P0340,12
D0184,P0341,12
D0184,P0342,12
D0184,P0343,12
D0184,P0344,12
D0184,P0515,3
D0184,P0533,6
D0184,P0535,6
D0184,P0736,6
D0184,P0737,6
D0184,P0740,12
D0184,P0743,12
D0184,P0744,6
D0184,P0758,12
D0184,P0981,4
D0184,P1009,4
D0184,P1083,6
D0184,P1138,12
D0184,P1141,6
D0184,P1143,6
D0184,P1144,6
D0184,P1145,6
D0184,P1147,6
D0184,P1181,18
D0184,P1251,6
D0184,P1356,6
D0184,P1403,12
D0184,P1404,12
D0184,P1589,4
D0184,P1594,3
D0184,P1668,4
D0184,P1777,12
D0184,P1778,12
D0184,P1779,12
D0184,P1791,12
D0184,P1797,4
D0184,P1798,4
D0184,P1799,4
D0184,P1800,4
D0184,P1816,8
D0185,P1004,1
D0185,P1097,12
D0185,P1123,12
D0185,P1195,12
D0185,P1217,4
D0185,P1273,8
D0185,P1395,10
D0185,P1406,6
D0185,P1415,24
D0185,P1423,4
D0185,P1940,1
D0186,P0068,4
D0186,P0491,12
D0186,P0563,4
D0186,P0813,8
D0186,P0814,8
D0186,P0815,8
D0186,P0872,12
D0186,P0962,8
D0186,P0981,2
D0186,P1202,2
D0186,P1426,12
D0186,P1427,12
D0186,P1432,6
D0186,P1635,6
D0186,P1636,6
D0186,P1638,4
D0186,P1658,6
D0186,P1820,12
D0186,P1940,1
D0187,P0072,12
D0187,P0109,16
D0187,P0112,12
D0187,P0250,48
D0187,P0252,48
D0187,P0280,6
D0187,P0281,6
D0187,P0283,8
D0187,P0415,12
D0187,P0447,24
D0187,P0461,12
D0187,P0464,12
D0187,P0469,12
D0187,P0513,6
D0187,P0516,4
D0187,P0532,3
D0187,P0536,12
D0187,P0539,6
D0187,P0545,6
D0187,P0610,6
D0187,P0611,6
D0187,P0704,24
D0187,P0708,1
D0187,P0755,6
D0187,P0799,12
D0187,P0809,24
D0187,P0820,12
D0187,P0849,12
D0187,P0865,4
D0187,P0918,12
D0187,P0947,6
D0187,P0948,4
D0187,P0995,6
D0187,P1053,6
D0187,P1090,24
D0187,P1124,12
D0187,P1302,6
D0187,P1316,4
D0187,P1325,24
D0187,P1337,12
D0187,P1357,6
D0187,P1380,48
D0187,P1398,6
D0187,P1435,2
D0187,P1453,12
D0187,P1454,12
D0187,P1565,12
D0187,P1629,24
D0187,P1741,16
D0187,P1763,8
D0187,P1776,24
D0187,P1780,12
D0188,P0492,5
D0189,P0118,24
D0189,P0166,6
D0189,P0211,2
D0189,P0259,4
D0189,P0397,12
D0189,P0405,12
D0189,P0406,12
D0189,P0515,3
D0189,P0531,3
D0189,P0532,3
D0189,P0535,6
D0189,P0570,24
D0189,P0608,16
D0189,P0617,2
D0189,P0707,4
D0189,P0740,12
D0189,P0757,1
D0189,P0763,12
D0189,P0816,12
D0189,P0824,3
D0189,P0836,12
D0189,P0847,3
D0189,P0873,10
D0189,P0903,2
D0189,P0909,6
D0189,P0910,6
D0189,P0911,6
D0189,P0960,1
D0189,P1003,1
D0189,P1007,2
D0189,P1009,4
D0189,P1089,12
D0189,P1090,24
D0189,P1112,12
D0189,P1219,3
D0189,P1220,2
D0189,P1252,12
D0189,P1253,12
D0189,P1254,12
D0189,P1255,2
D0189,P1256,4
D0189,P1257,4
D0189,P1277,12
D0189,P1288,10
D0189,P1289,24
D0189,P1291,12
D0189,P1330,12
D0189,P1365,6
D0189,P1405,4
D0189,P1407,6
D0189,P1429,2
D0189,P1430,8
D0189,P1431,4
D0189,P1446,4
D0189,P1449,2
D0189,P1454,24
D0189,P1668,4
D0189,P1749,6
D0189,P1777,12
D0189,P1802,3
D0189,P1803,3
D0189,P1826,4
D0189,P1827,2
D0189,P1848,12
D0190,P0009,4
D0190,P0011,20
D0190,P0012,10
D0190,P0048,4
D0190,P0073,4
D0190,P0074,4
D0190,P0075,4
D0190,P0076,4
D0190,P0078,4
D0190,P0079,6
D0190,P0080,6
D0190,P0081,6
D0190,P0082,6
D0190,P0083,6
D0190,P0217,6
D0190,P0289,25
D0190,P0290,25
D0190,P0333,12
D0190,P0368,6
D0190,P0452,24
D0190,P0454,24
D0190,P0470,25
D0190,P0483,12
D0190,P0484,12
D0190,P0557,12
D0190,P0634,24
D0190,P0713,4
D0190,P0733,6
D0190,P0734,6
D0190,P0853,2
D0190,P0854,2
D0190,P0855,2
D0190,P0856,2
D0190,P0982,2
D0190,P0997,24
D0190,P1000,12
D0190,P1097,24
D0190,P1130,3
D0190,P1131,3
D0190,P1143,18
D0190,P1163,2
D0190,P1199,2
D0190,P1200,24
D0190,P1306,6
D0190,P1339,12
D0190,P1357,6
D0190,P1363,24
D0190,P1401,12
D0190,P1402,12
D0190,P1403,12
D0190,P1404,12
D0190,P1409,12
D0190,P1413,40
D0190,P1414,40
D0190,P1453,12
D0190,P1454,24
D0190,P1455,12
D0190,P1459,48
D0190,P1460,48
D0190,P1516,25
D0190,P1655,2
D0190,P1681,4
D0190,P1694,4
D0190,P1697,4
D0190,P1698,10
D0190,P1720,2
D0190,P1725,3
D0190,P1771,24
D0190,P1802,3
D0190,P1858,9
D0190,P1879,4
D0190,P1880,4
D0190,P1881,4
D0190,P1882,4
D0190,P1883,8
D0190,P1884,2
D0190,P1886,2
D0190,P1887,4
D0190,P1888,2
D0190,P1894,6
D0190,P1895,6
D0190,P1896,6
D0190,P1897,6
D0190,P1898,6
D0190,P1899,6
D0190,P1900,6
D0190,P1902,6
D0190,P1904,12
D0190,P1905,6
D0190,P1911,3
D0190,P1912,6
D0190,P1913,6
D0190,P1914,12
D0190,P1915,6
D0190,P1916,6
D0190,P1917,6
D0190,P1918,6
D0190,P1919,6
D0190,P1920,6
D0190,P1921,6
D0190,P1922,6
D0190,P1923,6
D0190,P1924,6
D0190,P1925,3
D0190,P1926,6
D0190,P1927,6
D0190,P1928,6
D0190,P1929,6
D0190,P1930,6
D0190,P1931,6
D0190,P1932,6
D0190,P1933,6
D0190,P1934,4
D0190,P1935,4
D0190,P1936,4
D0190,P1937,6
D0190,P1938,6
D0190,P1939,3
D0191,P0339,12
D0191,P0340,12
D0191,P0341,12
D0191,P0343,12
D0191,P0344,12
D0191,P0533,6
D0191,P0933,12
D0191,P1052,24
D0191,P1122,12
D0191,P1142,6
D0191,P1143,6
D0191,P1202,1
D0191,P1206,2
D0191,P1329,12
D0191,P1399,12
D0191,P1406,6
D0191,P1413,10
D0191,P1458,12
D0191,P1795,24
D0191,P1802,6
D0191,P1805,12
D0191,P1940,1
D0192,P0174,12
D0192,P0178,12
D0192,P0179,12
D0192,P0426,12
D0192,P0427,4
D0192,P0428,4
D0192,P0498,6
D0192,P0707,4
D0192,P0880,6
D0192,P0909,9
D0192,P0910,9
D0192,P0911,9
D0192,P0920,3
D0192,P0933,6
D0192,P1053,6
D0192,P1130,1
D0192,P1131,1
D0192,P1134,4
D0192,P1191,8
D0192,P1202,1
D0192,P1206,2
D0192,P1252,12
D0192,P1253,12
D0192,P1254,12
D0192,P1256,4
D0192,P1257,4
D0192,P1258,8
D0192,P1262,4
D0192,P1270,6
D0192,P1277,12
D0192,P1302,6
D0192,P1311,6
D0192,P1316,4
D0192,P1410,16
D0192,P1445,6
D0192,P1449,1
D0192,P1817,12
D0193,P0006,12
D0193,P0008,12
D0193,P0009,12
D0193,P0049,12
D0193,P0302,12
D0193,P0305,6
D0193,P0513,12
D0193,P0925,12
D0193,P0926,12
D0193,P0927,12
D0193,P1039,24
D0193,P1425,4
D0193,P1574,12
D0193,P1593,12
D0193,P1671,12
D0193,P1672,12
D0193,P1856,12
D0194,P0005,6
D0194,P0007,3
D0194,P0049,6
D0194,P0098,4
D0194,P0099,6
D0194,P0137,12
D0194,P0138,12
D0194,P0208,12
D0194,P0302,6
D0194,P0303,6
D0194,P0305,6
D0194,P0350,12
D0194,P0365,6
D0194,P0405,12
D0194,P0558,4
D0194,P0572,8
D0194,P0573,4
D0194,P0574,8
D0194,P0756,4
D0194,P0757,2
D0194,P0804,12
D0194,P0805,12
D0194,P0806,12
D0194,P0816,12
D0194,P0819,12
D0194,P0820,12
D0194,P0821,12
D0194,P0825,12
D0194,P0836,12
D0194,P0906,24
D0194,P0909,6
D0194,P0910,6
D0194,P0911,6
D0194,P0972,2
D0194,P0996,6
D0194,P1066,2
D0194,P1068,2
D0194,P1069,2
D0194,P1244,8
D0194,P1245,8
D0194,P1255,2
D0194,P1256,4
D0194,P1257,4
D0194,P1326,12
D0194,P1328,12
D0194,P1365,12
D0194,P1387,6
D0194,P1388,6
D0194,P1389,6
D0194,P1390,6
D0194,P1439,3
D0194,P1449,2
D0194,P1584,24
D0194,P1586,12
D0194,P1626,12
D0194,P1632,6
D0194,P1633,6
D0194,P1640,12
D0194,P1641,12
D0194,P1642,12
D0194,P1643,12
D0194,P1681,4
D0194,P1769,4
D0194,P1782,3
D0194,P1802,6
D0194,P1803,6
D0194,P1876,12
D0194,P1877,12
D0195,P0517,8
D0195,P1406,12
D0195,P1425,2
D0195,P1520,48
D0196,P0020,25
D0196,P0055,10
D0196,P0206,6
D0196,P0207,6
D0196,P0473,24
D0196,P0526,12
D0196,P0819,12
D0196,P0822,12
D0196,P0832,12
D0196,P0833,12
D0196,P0875,3
D0196,P0934,10
D0196,P0936,10
D0196,P0937,10
D0196,P0938,10
D0196,P0978,24
D0196,P1095,25
D0196,P1186,16
D0196,P1278,20
D0196,P1280,10
D0196,P1282,20
D0196,P1366,4
D0196,P1368,4
D0196,P1399,12
D0196,P1401,12
D0196,P1565,12
D0196,P1940,1
D0197,P0090,6
D0197,P0297,2
D0197,P0551,8
D0197,P0617,2
D0197,P0703,6
D0197,P0707,1
D0197,P0853,2
D0197,P0962,8
D0197,P0982,2
D0197,P1096,6
D0197,P1190,2
D0197,P1201,2
D0197,P1202,1
D0197,P1316,4
D0197,P1589,4
D0197,P1607,2
D0197,P1940,1
D0198,P0079,6
D0198,P0081,6
D0198,P1316,4
D0199,P0297,40
D0199,P0981,48
D0199,P1111,48
D0199,P1244,48
D0199,P1245,48
D0199,P1316,48
D0200,P0122,24
D0200,P0123,24
D0200,P0393,24
D0200,P0394,24
D0200,P0395,36
D0200,P0398,12
D0200,P0821,24
D0200,P0822,24
D0200,P0931,18
D0200,P0932,18
D0200,P0998,12
D0200,P0999,12
D0200,P1399,12
D0200,P1400,12
D0200,P1414,10
D0200,P1519,25
D0200,P1816,2
D0200,P1940,1
D0201,P0675,4
D0201,P0678,8
D0201,P1728,6
D0201,P1940,1
D0202,P0212,6
D0202,P0521,3
D0202,P0526,12
D0202,P0532,3
D0202,P0533,6
D0202,P0822,24
D0202,P0824,3
D0202,P0851,2
D0202,P0933,6
D0202,P0962,8
D0202,P1052,12
D0202,P1143,6
D0202,P1328,12
D0202,P1330,12
D0202,P1367,5
D0202,P1383,12
D0202,P1385,12
D0202,P1414,10
D0202,P1430,8
D0202,P1449,2
D0202,P1561,36
D0202,P1639,4
D0202,P1875,24
D0202,P1940,1
D0203,P0166,6
D0203,P0193,4
D0203,P0195,6
D0203,P0239,6
D0203,P0243,24
D0203,P0255,3
D0203,P0297,2
D0203,P0368,6
D0203,P0526,12
D0203,P0565,2
D0203,P0566,2
D0203,P0588,12
D0203,P0589,12
D0203,P0606,24
D0203,P0607,48
D0203,P0608,16
D0203,P0620,24
D0203,P0694,12
D0203,P0711,3
D0203,P0737,12
D0203,P0757,1
D0203,P0771,4
D0203,P0858,12
D0203,P0859,12
D0203,P0883,5
D0203,P0904,2
D0203,P1002,4
D0203,P1013,2
D0203,P1019,1
D0203,P1020,1
D0203,P1086,2
D0203,P1096,6
D0203,P1097,12
D0203,P1124,12
D0203,P1239,12
D0203,P1241,12
D0203,P1276,12
D0203,P1293,12
D0203,P1306,6
D0203,P1356,3
D0203,P1367,5
D0203,P1368,2
D0203,P1377,6
D0203,P1411,16
D0203,P1412,16
D0203,P1589,8
D0203,P1650,4
D0203,P1763,8
D0203,P1816,4
D0203,P1826,4
D0203,P1839,6
D0204,P0189,12
D0204,P0191,24
D0204,P0339,12
D0204,P0341,12
D0204,P0342,12
D0204,P0344,12
D0204,P0449,24
D0204,P0464,12
D0204,P0474,25
D0204,P0491,12
D0204,P0548,2
D0204,P0703,6
D0204,P0707,1
D0204,P0853,2
D0204,P0880,6
D0204,P0905,2
D0204,P0909,6
D0204,P0910,6
D0204,P0911,6
D0204,P0915,12
D0204,P0918,12
D0204,P0920,3
D0204,P0927,4
D0204,P0967,12
D0204,P0968,12
D0204,P0970,12
D0204,P0971,12
D0204,P1057,12
D0204,P1064,12
D0204,P1096,6
D0204,P1097,12
D0204,P1119,25
D0204,P1124,12
D0204,P1140,6
D0204,P1142,6
D0204,P1143,6
D0204,P1144,6
D0204,P1191,8
D0204,P1199,6
D0204,P1201,2
D0204,P1202,1
D0204,P1204,6
D0204,P1206,2
D0204,P1252,12
D0204,P1253,12
D0204,P1254,12
D0204,P1314,4
D0204,P1316,4
D0204,P1354,8
D0204,P1361,12
D0204,P1362,24
D0204,P1392,2
D0204,P1393,2
D0204,P1426,12
D0204,P1427,12
D0204,P1428,2
D0204,P1429,2
D0204,P1431,4
D0204,P1432,6
D0204,P1436,6
D0204,P1439,3
D0204,P1440,1
D0204,P1448,6
D0204,P1474,2
D0204,P1500,6
D0204,P1502,6
D0204,P1503,6
D0204,P1506,4
D0204,P1516,25
D0204,P1601,2
D0204,P1607,2
D0204,P1608,2
D0204,P1654,6
D0204,P1656,2
D0204,P1657,2
D0204,P1658,6
D0204,P1687,12
D0204,P1741,16
D0205,P1105,12
D0206,P0674,36
D0206,P1052,12
D0206,P1376,36
D0206,P1786,1
D0206,P1940,1
D0207,P0065,10
D0207,P0174,12
D0207,P0179,12
D0207,P0296,12
D0207,P0538,6
D0207,P0684,10
D0207,P0703,12
D0207,P0762,12
D0207,P0858,12
D0207,P0865,6
D0207,P1097,12
D0207,P1102,12
D0207,P1178,2
D0207,P1272,12
D0207,P1275,12
D0207,P1280,30
D0207,P1281,20
D0207,P1789,12
D0208,P0123,24
D0208,P0234,12
D0208,P0243,24
D0208,P0286,12
D0208,P0362,6
D0208,P0383,48
D0208,P0384,48
D0208,P0385,48
D0208,P0387,36
D0208,P0388,36
D0208,P0389,36
D0208,P0393,24
D0208,P0394,24
D0208,P0472,24
D0208,P0473,24
D0208,P0476,25
D0208,P0484,48
D0208,P0545,24
D0208,P0588,12
D0208,P0589,12
D0208,P0590,48
D0208,P0591,12
D0208,P0592,32
D0208,P0593,12
D0208,P0606,24
D0208,P0607,48
D0208,P0608,16
D0208,P0620,24
D0208,P0621,24
D0208,P0633,12
D0208,P0634,12
D0208,P0656,24
D0208,P0743,12
D0208,P0744,6
D0208,P0821,24
D0208,P0822,24
D0208,P0823,24
D0208,P0966,1
D0208,P1160,12
D0208,P1182,6
D0208,P1199,2
D0208,P1267,48
D0208,P1456,10
D0208,P1552,12
D0208,P1553,12
D0208,P1559,48
D0208,P1561,36
D0208,P1563,12
D0208,P1564,12
D0208,P1640,24
D0208,P1641,24
D0208,P1642,36
D0208,P1671,6
D0208,P1839,6
D0208,P1866,48
D0209,P0517,4
D0209,P0880,6
D0209,P0920,3
D0209,P1041,3
D0209,P1097,12
D0209,P1381,18
D0209,P1940,1
D0210,P0707,17
D0210,P0909,6
D0210,P0910,6
D0210,P0911,6
D0210,P1253,12
D0210,P1254,12
D0210,P1255,4
D0210,P1256,4
D0210,P1257,4
D0210,P1316,4
D0210,P1940,1
D0211,P0174,12
D0211,P0175,12
D0211,P0179,12
D0211,P0181,12
D0211,P0192,24
D0211,P0257,4
D0211,P0259,4
D0211,P0294,12
D0211,P0374,2
D0211,P0379,12
D0211,P0411,4
D0211,P0425,12
D0211,P0427,4
D0211,P0447,24
D0211,P0463,12
D0211,P0464,12
D0211,P0515,6
D0211,P0522,12
D0211,P0527,6
D0211,P0531,3
D0211,P0548,2
D0211,P0569,12
D0211,P0570,24
D0211,P0608,32
D0211,P0673,8
D0211,P0685,10
D0211,P0702,12
D0211,P0704,24
D0211,P0745,3
D0211,P0747,3
D0211,P0847,3
D0211,P0854,2
D0211,P1090,24
D0211,P1220,2
D0211,P1264,6
D0211,P1288,10
D0211,P1316,4
D0211,P1359,12
D0211,P1411,16
D0211,P1412,16
D0211,P1435,2
D0211,P1596,8
D0211,P1656,2
D0211,P1686,12
D0211,P1687,12
D0211,P1794,24
D0211,P1823,6
D0211,P1848,6
D0211,P1849,12
D0212,P0707,2
D0213,P0009,4
D0213,P0069,12
D0213,P0115,24
D0213,P0117,24
D0213,P0118,24
D0213,P0211,2
D0213,P0257,4
D0213,P0259,8
D0213,P0361,12
D0213,P0442,12
D0213,P0504,36
D0213,P0562,12
D0213,P0616,4
D0213,P0617,8
D0213,P0676,8
D0213,P0677,4
D0213,P0678,4
D0213,P0686,20
D0213,P0687,10
D0213,P0710,4
D0213,P0711,3
D0213,P0739,12
D0213,P0843,36
D0213,P0845,36
D0213,P0921,6
D0213,P1052,12
D0213,P1172,1
D0213,P1436,6
D0213,P1437,6
D0213,P1439,3
D0213,P1572,6
D0213,P1609,2
D0213,P1697,4
D0213,P1787,6
D0213,P1791,12
D0213,P1802,6
D0213,P1803,3
D0213,P1834,10
D0214,P0059,20
D0214,P0060,20
D0214,P0061,20
D0214,P0665,20
D0214,P0666,20
D0214,P0684,20
D0214,P0876,20
D0214,P1284,20
D0214,P1403,24
D0214,P1404,24
D0214,P1435,4
D0214,P1456,20
D0214,P1457,20
D0214,P1495,20
D0214,P1496,20
D0214,P1497,20
D0214,P1498,20
D0214,P1499,20
D0214,P1940,1
D0215,P0481,8
D0215,P1570,16
D0216,P1216,48
D0216,P1425,8
D0216,P1523,48
D0216,P1524,48
D0216,P1525,48
D0216,P1839,32
D0217,P0275,6
D0217,P0488,4
D0217,P0517,4
D0217,P0568,12
D0217,P0572,4
D0217,P0574,4
D0217,P0617,2
D0217,P0707,2
D0217,P0856,2
D0217,P0911,6
D0217,P0920,3
D0217,P0927,4
D0217,P1012,1
D0217,P1077,6
D0217,P1609,6
D0218,P0006,3
D0218,P0049,3
D0218,P0052,4
D0218,P0054,4
D0218,P0162,8
D0218,P0163,24
D0218,P0197,10
D0218,P0198,10
D0218,P0199,10
D0218,P0354,4
D0218,P0374,2
D0218,P0379,24
D0218,P0380,24
D0218,P0411,4
D0218,P0412,12
D0218,P0427,4
D0218,P0430,12
D0218,P0438,10
D0218,P0439,10
D0218,P0476,25
D0218,P0531,3
D0218,P0553,6
D0218,P0554,6
D0218,P0555,12
D0218,P0693,12
D0218,P0737,12
D0218,P0743,12
D0218,P0758,12
D0218,P0789,24
D0218,P0794,24
D0218,P0795,24
D0218,P0797,24
D0218,P0799,12
D0218,P0849,12
D0218,P0852,12
D0218,P0883,5
D0218,P0884,12
D0218,P0974,2
D0218,P1088,24
D0218,P1095,25
D0218,P1173,6
D0218,P1206,2
D0218,P1273,8
D0218,P1356,6
D0218,P1372,6
D0218,P1381,4
D0218,P1436,6
D0218,P1496,20
D0218,P1589,4
D0218,P1658,6
D0218,P1661,12
D0218,P1763,16
D0218,P1774,6
D0218,P1802,3
D0218,P1874,12
D0219,P0285,3
D0219,P0414,12
D0219,P0429,6
D0219,P0430,6
D0219,P0498,6
D0219,P0514,3
D0219,P0543,8
D0219,P0810,12
D0219,P0849,12
D0219,P0853,2
D0219,P0854,2
D0219,P0920,3
D0219,P0924,4
D0219,P0929,4
D0219,P1019,1
D0219,P1020,1
D0219,P1050,12
D0219,P1089,12
D0219,P1097,12
D0219,P1120,6
D0219,P1121,2
D0219,P1159,3
D0219,P1202,1
D0219,P1206,2
D0219,P1216,4
D0219,P1218,4
D0219,P1229,4
D0219,P1247,12
D0219,P1272,12
D0219,P1277,12
D0219,P1314,4
D0219,P1333,16
D0219,P1368,2
D0219,P1446,4
D0219,P1478,2
D0219,P1628,2
D0219,P1816,4
D0219,P1839,6
D0219,P1940,1
D0220,P0565,12
D0220,P0612,24
D0220,P0707,32
D0220,P0910,12
D0220,P0911,48
D0220,P1112,48
D0220,P1113,24
D0220,P1245,36
D0220,P1252,48
D0220,P1253,36
D0220,P1254,36
D0220,P1255,36
D0220,P1256,48
D0220,P1257,24
D0220,P1687,48
D0221,P1417,36
D0222,P0065,20
D0222,P0191,24
D0222,P0298,10
D0222,P0447,24
D0222,P0564,12
D0222,P0565,2
D0222,P0566,12
D0222,P0686,10
D0222,P0707,2
D0222,P0969,12
D0222,P1011,1
D0222,P1013,2
D0222,P1096,12
D0222,P1278,10
D0222,P1280,10
D0222,P1281,10
D0222,P1285,20
D0222,P1287,20
D0222,P1341,10
D0222,P1361,12
D0222,P1363,24
D0222,P1392,2
D0222,P1393,2
D0222,P1418,4
D0222,P1419,4
D0222,P1420,4
D0222,P1799,4
D0222,P1800,4
D0223,P0062,20
D0223,P0063,20
D0223,P0064,10
D0223,P0065,20
D0223,P0683,20
D0223,P0685,20
D0223,P0870,8
D0223,P0877,20
D0223,P0879,6
D0223,P0880,6
D0223,P0881,6
D0223,P0922,4
D0223,P0981,16
D0223,P1024,4
D0223,P1239,24
D0223,P1283,20
D0223,P1285,20
D0223,P1286,20
D0223,P1380,48
D0223,P1381,4
D0223,P1406,6
D0223,P1422,8
D0223,P1522,12
D0224,P0156,24
D0224,P0158,24
D0224,P0174,12
D0224,P0175,12
D0224,P0179,12
D0224,P0298,2
D0224,P0374,2
D0224,P0430,12
D0224,P0498,40
D0224,P0515,3
D0224,P0564,4
D0224,P0807,48
D0224,P0875,12
D0224,P0880,24
D0224,P0909,12
D0224,P0933,6
D0224,P0936,10
D0224,P1009,4
D0224,P1052,24
D0224,P1053,24
D0224,P1083,6
D0224,P1089,24
D0224,P1091,24
D0224,P1096,6
D0224,P1097,24
D0224,P1098,12
D0224,P1099,12
D0224,P1101,6
D0224,P1124,12
D0224,P1195,24
D0224,P1234,12
D0224,P1239,12
D0224,P1244,4
D0224,P1245,8
D0224,P1252,12
D0224,P1253,12
D0224,P1257,8
D0224,P1270,12
D0224,P1329,12
D0224,P1341,2
D0224,P1342,2
D0224,P1362,24
D0224,P1369,4
D0224,P1370,4
D0224,P1371,4
D0224,P1373,6
D0224,P1391,24
D0224,P1393,4
D0224,P1396,12
D0224,P1405,4
D0224,P1438,6
D0224,P1467,4
D0224,P1515,2
D0224,P1526,12
D0224,P1527,12
D0224,P1607,4
D0224,P1669,4
D0224,P1855,24
D0225,P0013,24
D0225,P0015,36
D0225,P0022,48
D0225,P0117,24
D0225,P0118,24
D0225,P0183,36
D0225,P0187,36
D0225,P0188,36
D0225,P0203,8
D0225,P0204,8
